ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13805432,JJ217751,04/14/2025 11:45:00 AM,068XX S DORCHESTER AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE - YARD (FRONT / BACK),TRUE,FALSE,321,3,5,43,26,1186719,1859914,2025,04/22/2025 03:41:56 PM,41.77071789,-87.59111005,"(41.770717886, -87.591110049)"
13805386,JJ217680,04/14/2025 11:45:00 AM,105XX S EWING AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,432,4,10,52,14,1202173,1835703,2025,04/22/2025 03:41:56 PM,41.70390134,-87.53528589,"(41.703901335, -87.535285886)"
13805429,JJ217667,04/14/2025 11:45:00 AM,015XX W 112TH PL,460,BATTERY,SIMPLE,RESIDENCE,FALSE,FALSE,2234,22,21,75,08B,1167916,1830086,2025,04/22/2025 03:41:56 PM,41.68929005,-87.66088861,"(41.689290047, -87.660888614)"
13805449,JJ217654,04/14/2025 11:33:00 AM,075XX S STONY ISLAND AVE,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,FALSE,FALSE,411,4,8,43,6,1188123,1855151,2025,04/22/2025 03:41:56 PM,41.75761443,-87.58611527,"(41.757614433, -87.586115266)"
13805700,JJ217704,04/14/2025 11:30:00 AM,074XX S INGLESIDE AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,323,3,6,69,08A,1183851,1855838,2025,04/22/2025 03:41:56 PM,41.75960039,-87.60174999,"(41.759600385, -87.601749985)"
13805336,JJ217664,04/14/2025 11:30:00 AM,002XX W JACKSON BLVD,560,ASSAULT,SIMPLE,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,122,1,34,32,08A,1174629,1898950,2025,04/22/2025 03:41:56 PM,41.87811387,-87.63426275,"(41.878113871, -87.634262752)"
13806581,JJ218979,04/14/2025 11:30:00 AM,061XX S WOLCOTT AVE,560,ASSAULT,SIMPLE,SCHOOL - PUBLIC GROUNDS,FALSE,FALSE,714,7,16,67,08A,1164741,1863948,2025,04/22/2025 03:41:56 PM,41.78227994,-87.67155906,"(41.782279941, -87.671559063)"
13805414,JJ217665,04/14/2025 11:30:00 AM,013XX W 92ND ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,FALSE,TRUE,2222,22,21,73,26,1169064,1843755,2025,04/22/2025 03:41:56 PM,41.72677525,-87.65629235,"(41.726775253, -87.656292347)"
13805422,JJ217638,04/14/2025 11:30:00 AM,035XX N MILWAUKEE AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,RESTAURANT,FALSE,FALSE,1731,17,30,16,04A,1147027,1923436,2025,04/22/2025 03:41:56 PM,41.94587814,-87.73498414,"(41.945878136, -87.734984141)"
13805497,JJ217689,04/14/2025 11:28:00 AM,0000X W PARKING LOT A ST,1335,CRIMINAL TRESPASS,TO AIRPORT,AIRPORT PARKING LOT,TRUE,FALSE,1654,16,41,76,26,1101086,1935036,2025,04/22/2025 03:41:56 PM,41.97846613,-87.90363857,"(41.978466127, -87.903638571)"
13805372,JJ217625,04/14/2025 11:23:00 AM,114XX S DAVOL ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,2234,22,21,75,08B,1166990,1828738,2025,04/22/2025 03:41:56 PM,41.68561069,-87.66431702,"(41.685610691, -87.664317022)"
13808422,JJ221352,04/14/2025 11:09:00 AM,077XX S LOWE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,FALSE,FALSE,621,6,17,71,26,1173307,1853601,2025,04/22/2025 03:41:56 PM,41.75370135,-87.64045939,"(41.753701346, -87.640459389)"
13805286,JJ217603,04/14/2025 11:04:00 AM,067XX W BELMONT AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,2511,25,36,18,6,1131110,1920530,2025,04/22/2025 03:41:56 PM,41.93819374,-87.79355779,"(41.938193738, -87.793557786)"
13805347,JJ217592,04/14/2025 11:03:00 AM,032XX N CLARK ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,FALSE,1924,19,44,6,6,1169868,1921628,2025,04/22/2025 03:41:56 PM,41.94044868,-87.65108159,"(41.94044868, -87.651081589)"
13805424,JJ217586,04/14/2025 11:03:00 AM,071XX S ABERDEEN ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,733,7,17,68,08B,1170218,1857440,2025,04/22/2025 03:41:56 PM,41.76430377,-87.65166799,"(41.764303767, -87.65166799)"
13805360,JJ217615,04/14/2025 11:03:00 AM,071XX S CYRIL AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,333,3,5,43,08A,1190602,1857828,2025,04/22/2025 03:41:56 PM,41.7649009,-87.57694394,"(41.764900898, -87.576943938)"
13805388,JJ217600,04/14/2025 11:02:00 AM,016XX S MICHIGAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,131,1,3,33,14,1177485,1892305,2025,04/22/2025 03:41:56 PM,41.85981528,-87.62397793,"(41.859815277, -87.623977927)"
13805559,JJ217921,04/14/2025 11:00:00 AM,004XX N TROY ST,460,BATTERY,SIMPLE,SCHOOL - PUBLIC GROUNDS,FALSE,FALSE,1221,12,27,23,08B,1155300,1902803,2025,04/22/2025 03:41:56 PM,41.88909698,-87.70513082,"(41.889096979, -87.705130816)"
13805366,JJ217571,04/14/2025 11:00:00 AM,017XX S STATE ST,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,APARTMENT,FALSE,TRUE,131,1,3,33,20,1176607,1891853,2025,04/22/2025 03:41:56 PM,41.85859482,-87.62721443,"(41.858594819, -87.627214427)"
13805762,JJ218252,04/14/2025 11:00:00 AM,039XX S LANGLEY AVE,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,FALSE,FALSE,214,2,4,38,10,1181467,1878566,2025,04/22/2025 03:41:56 PM,41.82202336,-87.60978618,"(41.822023355, -87.60978618)"
13805380,JJ217602,04/14/2025 11:00:00 AM,007XX W 103RD ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,2232,22,21,49,6,1173011,1836553,2025,04/22/2025 03:41:56 PM,41.70692583,-87.64204588,"(41.706925829, -87.642045876)"
13808973,JJ221793,04/14/2025 10:58:00 AM,068XX W BELMONT AVE,860,THEFT,RETAIL THEFT,DRUG STORE,FALSE,FALSE,2511,25,36,18,6,1130394,1920510,2025,04/22/2025 03:41:56 PM,41.9381512,-87.79618975,"(41.938151196, -87.796189752)"
13805370,JJ217585,04/14/2025 10:55:00 AM,001XX S CICERO AVE,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,TRUE,FALSE,1113,11,28,25,18,1144410,1899003,2025,04/22/2025 03:41:56 PM,41.87888114,-87.74521924,"(41.878881138, -87.745219237)"
13806965,JJ219431,04/14/2025 10:54:00 AM,069XX S Merrill Ave,820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,FALSE,FALSE,331,3,5,43,6,1191741,1859445,2025,04/22/2025 03:41:56 PM,41.76931051,-87.57271684,"(41.769310511, -87.572716842)"
13805423,JJ217677,04/14/2025 10:50:00 AM,040XX N CICERO AVE,860,THEFT,RETAIL THEFT,CONVENIENCE STORE,FALSE,FALSE,1624,16,45,15,6,1143644,1926627,2025,04/22/2025 03:41:56 PM,41.95469865,-87.74733882,"(41.954698652, -87.747338823)"
13805935,JJ217753,04/14/2025 10:44:00 AM,003XX N HALSTED ST,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE - GARAGE,FALSE,FALSE,1214,12,34,28,14,1170974,1902779,2025,04/22/2025 03:41:56 PM,41.88870181,-87.64757061,"(41.888701814, -87.647570608)"
13805399,JJ217703,04/14/2025 10:44:00 AM,031XX S KOSTNER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1031,10,22,30,14,1147555,1883625,2025,04/22/2025 03:41:56 PM,41.83662225,-87.73406537,"(41.836622249, -87.734065374)"
13805359,JJ217567,04/14/2025 10:38:00 AM,006XX W 63RD ST,820,THEFT,$500 AND UNDER,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,711,7,20,68,6,1172906,1863108,2025,04/22/2025 03:41:56 PM,41.77979855,-87.64164874,"(41.779798546, -87.641648739)"
13805546,JJ217770,04/14/2025 10:37:00 AM,030XX E 78TH ST,584,STALKING,VIOLATION OF STALKING NO CONTACT ORDER,APARTMENT,FALSE,FALSE,421,4,7,43,26,1197633,1854445,2025,04/22/2025 03:41:56 PM,41.75544517,-87.5512866,"(41.755445167, -87.551286599)"
13808462,JJ221432,04/14/2025 10:30:00 AM,079XX S DR MARTIN LUTHER KING JR DR,890,THEFT,FROM BUILDING,VACANT LOT / LAND,FALSE,FALSE,624,6,6,44,6,1180279,1852373,2025,04/22/2025 03:41:56 PM,41.75017466,-87.61494722,"(41.750174658, -87.614947221)"
13805580,JJ217864,04/14/2025 10:30:00 AM,022XX W HARRISON ST,710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,FALSE,FALSE,1225,12,28,28,6,1161571,1897331,2025,04/22/2025 03:41:56 PM,41.87395304,-87.68225365,"(41.873953041, -87.682253648)"
13806276,JJ218714,04/14/2025 10:30:00 AM,028XX S DR MARTIN LUTHER KING JR DR,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,133,1,4,35,6,1179378,1886082,2025,04/22/2025 03:41:56 PM,41.84269583,-87.61721984,"(41.842695834, -87.61721984)"
